field_name-japanese,field_name-short-code,field_name-jpgis-gml,field_name-camelCase,field_name-snake_case,field_type,field_width,field_precision,ogr-vrt-field-def-short-code-to-snake_case
標準地番号：行政区域コード,L01_001,representedLandCode/administrativeAreaCode,representedLandCodeAdministrativeAreaCode,represented_land_code_administrative_area_code,String,5,0,"<Field name=""represented_land_code_administrative_area_code"" src=""L01_001"" type=""String"" width=""5"" precision=""0"" comment=""標準地番号：行政区域コード"" alternativeName=""標準地番号：行政区域コード"" />"
標準地番号：用途区分,L01_002,representedLandCode/indexNumber,representedLandCodeIndexNumber,represented_land_code_index_number,String,3,0,"<Field name=""represented_land_code_index_number"" src=""L01_002"" type=""String"" width=""3"" precision=""0"" comment=""標準地番号：用途区分"" alternativeName=""標準地番号：用途区分"" />"
標準地番号：連番,L01_003,representedLandCode/sequenceNumber,representedLandCodeSequenceNumber,represented_land_code_sequence_number,String,3,0,"<Field name=""represented_land_code_sequence_number"" src=""L01_003"" type=""String"" width=""3"" precision=""0"" comment=""標準地番号：連番"" alternativeName=""標準地番号：連番"" />"
前年度標準地番号：行政区域コード,L01_004,previousRepresentedLandCode/administrativeAreaCode,previousRepresentedLandCodeAdministrativeAreaCode,previous_represented_land_code_administrative_area_code,String,5,0,"<Field name=""previous_represented_land_code_administrative_area_code"" src=""L01_004"" type=""String"" width=""5"" precision=""0"" comment=""前年度標準地番号：行政区域コード"" alternativeName=""前年度標準地番号：行政区域コード"" />"
前年度標準地番号：用途区分,L01_005,previousRepresentedLandCode/indexNumber,previousRepresentedLandCodeIndexNumber,previous_represented_land_code_index_number,String,3,0,"<Field name=""previous_represented_land_code_index_number"" src=""L01_005"" type=""String"" width=""3"" precision=""0"" comment=""前年度標準地番号：用途区分"" alternativeName=""前年度標準地番号：用途区分"" />"
前年度標準地番号：連番,L01_006,previousRepresentedLandCode/sequenceNumber,previousRepresentedLandCodeSequenceNumber,previous_represented_land_code_sequence_number,String,3,0,"<Field name=""previous_represented_land_code_sequence_number"" src=""L01_006"" type=""String"" width=""3"" precision=""0"" comment=""前年度標準地番号：連番"" alternativeName=""前年度標準地番号：連番"" />"
年度,L01_007,year,year,year,Integer,4,0,"<Field name=""year"" src=""L01_007"" type=""Integer"" width=""4"" precision=""0"" comment=""年度"" alternativeName=""年度"" />"
地価公示価格,L01_008,postedLandPrice,postedLandPrice,posted_land_price,Integer,9,0,"<Field name=""posted_land_price"" src=""L01_008"" type=""Integer"" width=""9"" precision=""0"" comment=""地価公示価格"" alternativeName=""地価公示価格"" />"
対前年変動率,L01_009,volatilityOverThePreviousYear,volatilityOverThePreviousYear,volatility_over_the_previous_year,Real,5,1,"<Field name=""volatility_over_the_previous_year"" src=""L01_009"" type=""Real"" width=""5"" precision=""1"" comment=""対前年変動率"" alternativeName=""対前年変動率"" />"
属性移動：選定状況,L01_010,attributeChange/selectedLandStatus,attributeChangeSelectedLandStatus,attribute_change_selected_land_status,Integer,1,0,"<Field name=""attribute_change_selected_land_status"" src=""L01_010"" type=""Integer"" width=""1"" precision=""0"" comment=""属性移動：選定状況"" alternativeName=""属性移動：選定状況"" />"
属性移動：所在並びに地番・住居表示,L01_011,attributeChange/address,attributeChangeAddress,attribute_change_address,String,5,0,"<Field name=""attribute_change_address"" src=""L01_011"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：所在並びに地番・住居表示"" alternativeName=""属性移動：所在並びに地番・住居表示"" />"
属性移動：地積,L01_012,attributeChange/acreage,attributeChangeAcreage,attribute_change_acreage,String,5,0,"<Field name=""attribute_change_acreage"" src=""L01_012"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：地積"" alternativeName=""属性移動：地積"" />"
属性移動：利用の現況,L01_013,attributeChange/currentUse,attributeChangeCurrentUse,attribute_change_current_use,String,5,0,"<Field name=""attribute_change_current_use"" src=""L01_013"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：利用の現況"" alternativeName=""属性移動：利用の現況"" />"
属性移動：建物構造,L01_014,attributeChange/buildingStructure,attributeChangeBuildingStructure,attribute_change_building_structure,String,5,0,"<Field name=""attribute_change_building_structure"" src=""L01_014"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：建物構造"" alternativeName=""属性移動：建物構造"" />"
属性移動：供給施設,L01_015,attributeChange/suppliedFacility,attributeChangeSuppliedFacility,attribute_change_supplied_facility,String,5,0,"<Field name=""attribute_change_supplied_facility"" src=""L01_015"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：供給施設"" alternativeName=""属性移動：供給施設"" />"
属性移動：最寄り駅迄の道路距離,L01_016,attributeChange/distanceFromStation,attributeChangeDistanceFromStation,attribute_change_distance_from_station,String,5,0,"<Field name=""attribute_change_distance_from_station"" src=""L01_016"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：最寄り駅迄の道路距離"" alternativeName=""属性移動：最寄り駅迄の道路距離"" />"
属性移動：都市計画の用途区分,L01_017,attributeChange/useDistrict,attributeChangeUseDistrict,attribute_change_use_district,String,5,0,"<Field name=""attribute_change_use_district"" src=""L01_017"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：都市計画の用途区分"" alternativeName=""属性移動：都市計画の用途区分"" />"
属性移動：防火地域,L01_018,attributeChange/fireArea,attributeChangeFireArea,attribute_change_fire_area,String,5,0,"<Field name=""attribute_change_fire_area"" src=""L01_018"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：防火地域"" alternativeName=""属性移動：防火地域"" />"
属性移動：都市計画区分,L01_019,attributeChange/urbanPlanningArea,attributeChangeUrbanPlanningArea,attribute_change_urban_planning_area,String,5,0,"<Field name=""attribute_change_urban_planning_area"" src=""L01_019"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：都市計画区分"" alternativeName=""属性移動：都市計画区分"" />"
属性移動：森林法,L01_020,attributeChange/forestLaw,attributeChangeForestLaw,attribute_change_forest_law,String,5,0,"<Field name=""attribute_change_forest_law"" src=""L01_020"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：森林法"" alternativeName=""属性移動：森林法"" />"
属性移動：自然公園法,L01_021,attributeChange/parksLaw,attributeChangeParksLaw,attribute_change_parks_law,String,5,0,"<Field name=""attribute_change_parks_law"" src=""L01_021"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：自然公園法"" alternativeName=""属性移動：自然公園法"" />"
属性移動：建蔽率,L01_022,attributeChange/buildingCoverage,attributeChangeBuildingCoverage,attribute_change_building_coverage,String,5,0,"<Field name=""attribute_change_building_coverage"" src=""L01_022"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：建蔽率"" alternativeName=""属性移動：建蔽率"" />"
属性移動：容積率,L01_023,attributeChange/floorAreaRatio,attributeChangeFloorAreaRatio,attribute_change_floor_area_ratio,String,5,0,"<Field name=""attribute_change_floor_area_ratio"" src=""L01_023"" type=""String"" width=""5"" precision=""0"" comment=""属性移動：容積率"" alternativeName=""属性移動：容積率"" />"
標準地の所在：標準地名,L01_024,cityName,cityName,city_name,String,20,0,"<Field name=""city_name"" src=""L01_024"" type=""String"" width=""20"" precision=""0"" comment=""標準地の所在：標準地名"" alternativeName=""標準地の所在：標準地名"" />"
標準地の所在：所在並びに地番,L01_025,location,location,location,String,110,0,"<Field name=""location"" src=""L01_025"" type=""String"" width=""110"" precision=""0"" comment=""標準地の所在：所在並びに地番"" alternativeName=""標準地の所在：所在並びに地番"" />"
標準地の所在：住居表示,L01_026,address,address,address,String,64,0,"<Field name=""address"" src=""L01_026"" type=""String"" width=""64"" precision=""0"" comment=""標準地の所在：住居表示"" alternativeName=""標準地の所在：住居表示"" />"
地積,L01_027,acreage,acreage,acreage,Integer,7,0,"<Field name=""acreage"" src=""L01_027"" type=""Integer"" width=""7"" precision=""0"" comment=""地積"" alternativeName=""地積"" />"
利用現況：大分類,L01_028,currentUse,currentUse,current_use,String,40,0,"<Field name=""current_use"" src=""L01_028"" type=""String"" width=""40"" precision=""0"" comment=""利用現況：大分類"" alternativeName=""利用現況：大分類"" />"
利用現況：詳細,L01_029,usageDescription,usageDescription,usage_description,String,40,0,"<Field name=""usage_description"" src=""L01_029"" type=""String"" width=""40"" precision=""0"" comment=""利用現況：詳細"" alternativeName=""利用現況：詳細"" />"
利用区分,L01_030,usageClassification,usageClassification,usage_classification,String,3,0,"<Field name=""usage_classification"" src=""L01_030"" type=""String"" width=""3"" precision=""0"" comment=""利用区分"" alternativeName=""利用区分"" />"
建物構造,L01_031,buildingStructure,buildingStructure,building_structure,String,6,0,"<Field name=""building_structure"" src=""L01_031"" type=""String"" width=""6"" precision=""0"" comment=""建物構造"" alternativeName=""建物構造"" />"
給排水等状況：ガス,L01_032,gasFacility,gasFacility,gas_facility,String,5,0,"<Field name=""gas_facility"" src=""L01_032"" type=""String"" width=""5"" precision=""0"" comment=""給排水等状況：ガス"" alternativeName=""給排水等状況：ガス"" />"
給排水等状況：水道,L01_033,waterFacility,waterFacility,water_facility,String,5,0,"<Field name=""water_facility"" src=""L01_033"" type=""String"" width=""5"" precision=""0"" comment=""給排水等状況：水道"" alternativeName=""給排水等状況：水道"" />"
給排水等状況：下水道,L01_034,sewageFacility,sewageFacility,sewage_facility,String,5,0,"<Field name=""sewage_facility"" src=""L01_034"" type=""String"" width=""5"" precision=""0"" comment=""給排水等状況：下水道"" alternativeName=""給排水等状況：下水道"" />"
土地の形状：形状,L01_035,configuration,configuration,configuration,String,6,0,"<Field name=""configuration"" src=""L01_035"" type=""String"" width=""6"" precision=""0"" comment=""土地の形状：形状"" alternativeName=""土地の形状：形状"" />"
土地の形状：間口比率,L01_036,frontageRatio,frontageRatio,frontage_ratio,Real,4,1,"<Field name=""frontage_ratio"" src=""L01_036"" type=""Real"" width=""4"" precision=""1"" comment=""土地の形状：間口比率"" alternativeName=""土地の形状：間口比率"" />"
土地の形状：奥行比率,L01_037,depthRatio,depthRatio,depth_ratio,Real,4,1,"<Field name=""depth_ratio"" src=""L01_037"" type=""Real"" width=""4"" precision=""1"" comment=""土地の形状：奥行比率"" alternativeName=""土地の形状：奥行比率"" />"
建物の階層：地上階層,L01_038,numberOfFloors,numberOfFloors,number_of_floors,Integer,3,0,"<Field name=""number_of_floors"" src=""L01_038"" type=""Integer"" width=""3"" precision=""0"" comment=""建物の階層：地上階層"" alternativeName=""建物の階層：地上階層"" />"
建物の階層：地下階層,L01_039,numberOfBasementFloors,numberOfBasementFloors,number_of_basement_floors,Integer,2,0,"<Field name=""number_of_basement_floors"" src=""L01_039"" type=""Integer"" width=""2"" precision=""0"" comment=""建物の階層：地下階層"" alternativeName=""建物の階層：地下階層"" />"
前面道路の状況：道路区分,L01_040,frontalRoad,frontalRoad,frontal_road,String,8,0,"<Field name=""frontal_road"" src=""L01_040"" type=""String"" width=""8"" precision=""0"" comment=""前面道路の状況：道路区分"" alternativeName=""前面道路の状況：道路区分"" />"
前面道路の状況：方位,L01_041,directionOfFrontalRoad,directionOfFrontalRoad,direction_of_frontal_road,String,4,0,"<Field name=""direction_of_frontal_road"" src=""L01_041"" type=""String"" width=""4"" precision=""0"" comment=""前面道路の状況：方位"" alternativeName=""前面道路の状況：方位"" />"
前面道路の状況：幅員,L01_042,widthOfFrontalRoad,widthOfFrontalRoad,width_of_frontal_road,Real,5,1,"<Field name=""width_of_frontal_road"" src=""L01_042"" type=""Real"" width=""5"" precision=""1"" comment=""前面道路の状況：幅員"" alternativeName=""前面道路の状況：幅員"" />"
前面道路の状況：駅前状況,L01_043,stationSquareOfFrontalRoad,stationSquareOfFrontalRoad,station_square_of_frontal_road,String,8,0,"<Field name=""station_square_of_frontal_road"" src=""L01_043"" type=""String"" width=""8"" precision=""0"" comment=""前面道路の状況：駅前状況"" alternativeName=""前面道路の状況：駅前状況"" />"
前面道路の状況：舗装状況,L01_044,pavementOfFrontalRoad,pavementOfFrontalRoad,pavement_of_frontal_road,String,6,0,"<Field name=""pavement_of_frontal_road"" src=""L01_044"" type=""String"" width=""6"" precision=""0"" comment=""前面道路の状況：舗装状況"" alternativeName=""前面道路の状況：舗装状況"" />"
側道状況：接面道路状況,L01_045,sideRoad,sideRoad,side_road,String,6,0,"<Field name=""side_road"" src=""L01_045"" type=""String"" width=""6"" precision=""0"" comment=""側道状況：接面道路状況"" alternativeName=""側道状況：接面道路状況"" />"
側道状況：側道の方位,L01_046,directionOfSideRoad,directionOfSideRoad,direction_of_side_road,String,4,0,"<Field name=""direction_of_side_road"" src=""L01_046"" type=""String"" width=""4"" precision=""0"" comment=""側道状況：側道の方位"" alternativeName=""側道状況：側道の方位"" />"
周辺の土地利用の状況,L01_047,surroundingPresentUsage,surroundingPresentUsage,surrounding_present_usage,String,80,0,"<Field name=""surrounding_present_usage"" src=""L01_047"" type=""String"" width=""80"" precision=""0"" comment=""周辺の土地利用の状況"" alternativeName=""周辺の土地利用の状況"" />"
交通施設、距離：最寄り駅名,L01_048,nameOfNearestStation,nameOfNearestStation,name_of_nearest_station,String,40,0,"<Field name=""name_of_nearest_station"" src=""L01_048"" type=""String"" width=""40"" precision=""0"" comment=""交通施設、距離：最寄り駅名"" alternativeName=""交通施設、距離：最寄り駅名"" />"
交通施設、距離：交通施設との近接状況,L01_049,proximityWithTransportationFacility,proximityWithTransportationFacility,proximity_with_transportation_facility,String,12,0,"<Field name=""proximity_with_transportation_facility"" src=""L01_049"" type=""String"" width=""12"" precision=""0"" comment=""交通施設、距離：交通施設との近接状況"" alternativeName=""交通施設、距離：交通施設との近接状況"" />"
交通施設、距離：最寄り駅迄の道路距離,L01_050,distanceFromStation,distanceFromStation,distance_from_station,Integer,6,0,"<Field name=""distance_from_station"" src=""L01_050"" type=""Integer"" width=""6"" precision=""0"" comment=""交通施設、距離：最寄り駅迄の道路距離"" alternativeName=""交通施設、距離：最寄り駅迄の道路距離"" />"
法規制等：都市計画の用途地域,L01_051,useDistrict,useDistrict,use_district,String,6,0,"<Field name=""use_district"" src=""L01_051"" type=""String"" width=""6"" precision=""0"" comment=""法規制等：都市計画の用途地域"" alternativeName=""法規制等：都市計画の用途地域"" />"
法規制等：防火地域,L01_052,fireArea,fireArea,fire_area,String,4,0,"<Field name=""fire_area"" src=""L01_052"" type=""String"" width=""4"" precision=""0"" comment=""法規制等：防火地域"" alternativeName=""法規制等：防火地域"" />"
法規制等：都市計画区分,L01_053,urbanPlanningArea,urbanPlanningArea,urban_planning_area,String,6,0,"<Field name=""urban_planning_area"" src=""L01_053"" type=""String"" width=""6"" precision=""0"" comment=""法規制等：都市計画区分"" alternativeName=""法規制等：都市計画区分"" />"
法規制等：高度地区,L01_054,altitudeDistrict,altitudeDistrict,altitude_district,String,5,0,"<Field name=""altitude_district"" src=""L01_054"" type=""String"" width=""5"" precision=""0"" comment=""法規制等：高度地区"" alternativeName=""法規制等：高度地区"" />"
法規制等：森林法,L01_055,forestLaw,forestLaw,forest_law,String,6,0,"<Field name=""forest_law"" src=""L01_055"" type=""String"" width=""6"" precision=""0"" comment=""法規制等：森林法"" alternativeName=""法規制等：森林法"" />"
法規制等：自然公園法,L01_056,parksLaw,parksLaw,parks_law,String,14,0,"<Field name=""parks_law"" src=""L01_056"" type=""String"" width=""14"" precision=""0"" comment=""法規制等：自然公園法"" alternativeName=""法規制等：自然公園法"" />"
法規制等：建蔽率,L01_057,buildingCoverage,buildingCoverage,building_coverage,Integer,3,0,"<Field name=""building_coverage"" src=""L01_057"" type=""Integer"" width=""3"" precision=""0"" comment=""法規制等：建蔽率"" alternativeName=""法規制等：建蔽率"" />"
法規制等：容積率,L01_058,floorAreaRatio,floorAreaRatio,floor_area_ratio,Integer,4,0,"<Field name=""floor_area_ratio"" src=""L01_058"" type=""Integer"" width=""4"" precision=""0"" comment=""法規制等：容積率"" alternativeName=""法規制等：容積率"" />"
法規制等：割増容積率,L01_059,extraFloorAreaRatio,extraFloorAreaRatio,extra_floor_area_ratio,String,5,0,"<Field name=""extra_floor_area_ratio"" src=""L01_059"" type=""String"" width=""5"" precision=""0"" comment=""法規制等：割増容積率"" alternativeName=""法規制等：割増容積率"" />"
共通地点,L01_060,commonSurveyedPosition,commonSurveyedPosition,common_surveyed_position,String,5,0,"<Field name=""common_surveyed_position"" src=""L01_060"" type=""String"" width=""5"" precision=""0"" comment=""共通地点"" alternativeName=""共通地点"" />"
選定年次フラグ,L01_061,selectedYear,selectedYear,selected_year,String,42,0,"<Field name=""selected_year"" src=""L01_061"" type=""String"" width=""42"" precision=""0"" comment=""選定年次フラグ"" alternativeName=""選定年次フラグ"" />"
昭和58年公示価格,L01_062,surveyedPriceOfS58,surveyedPriceOfS58,surveyed_price_of_s58,Integer,9,0,"<Field name=""surveyed_price_of_s58"" src=""L01_062"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和58年公示価格"" alternativeName=""昭和58年公示価格"" />"
昭和59年公示価格,L01_063,surveyedPriceOfS59,surveyedPriceOfS59,surveyed_price_of_s59,Integer,9,0,"<Field name=""surveyed_price_of_s59"" src=""L01_063"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和59年公示価格"" alternativeName=""昭和59年公示価格"" />"
昭和60年公示価格,L01_064,surveyedPriceOfS60,surveyedPriceOfS60,surveyed_price_of_s60,Integer,9,0,"<Field name=""surveyed_price_of_s60"" src=""L01_064"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和60年公示価格"" alternativeName=""昭和60年公示価格"" />"
昭和61年公示価格,L01_065,surveyedPriceOfS61,surveyedPriceOfS61,surveyed_price_of_s61,Integer,9,0,"<Field name=""surveyed_price_of_s61"" src=""L01_065"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和61年公示価格"" alternativeName=""昭和61年公示価格"" />"
昭和62年公示価格,L01_066,surveyedPriceOfS62,surveyedPriceOfS62,surveyed_price_of_s62,Integer,9,0,"<Field name=""surveyed_price_of_s62"" src=""L01_066"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和62年公示価格"" alternativeName=""昭和62年公示価格"" />"
昭和63年公示価格,L01_067,surveyedPriceOfS63,surveyedPriceOfS63,surveyed_price_of_s63,Integer,9,0,"<Field name=""surveyed_price_of_s63"" src=""L01_067"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和63年公示価格"" alternativeName=""昭和63年公示価格"" />"
昭和64年公示価格,L01_068,surveyedPriceOfH01,surveyedPriceOfH01,surveyed_price_of_h01,Integer,9,0,"<Field name=""surveyed_price_of_h01"" src=""L01_068"" type=""Integer"" width=""9"" precision=""0"" comment=""昭和64年公示価格"" alternativeName=""昭和64年公示価格"" />"
平成2年公示価格,L01_069,surveyedPriceOfH02,surveyedPriceOfH02,surveyed_price_of_h02,Integer,9,0,"<Field name=""surveyed_price_of_h02"" src=""L01_069"" type=""Integer"" width=""9"" precision=""0"" comment=""平成2年公示価格"" alternativeName=""平成2年公示価格"" />"
平成3年公示価格,L01_070,surveyedPriceOfH03,surveyedPriceOfH03,surveyed_price_of_h03,Integer,9,0,"<Field name=""surveyed_price_of_h03"" src=""L01_070"" type=""Integer"" width=""9"" precision=""0"" comment=""平成3年公示価格"" alternativeName=""平成3年公示価格"" />"
平成4年公示価格,L01_071,surveyedPriceOfH04,surveyedPriceOfH04,surveyed_price_of_h04,Integer,9,0,"<Field name=""surveyed_price_of_h04"" src=""L01_071"" type=""Integer"" width=""9"" precision=""0"" comment=""平成4年公示価格"" alternativeName=""平成4年公示価格"" />"
