field_name-japanese,field_name-short-code,field_name-jpgis-gml,field_name-camelCase,field_name-snake_case,field_type,field_width,field_precision,ogr-vrt-field-def-short-code-to-snake_case
平成5年公示価格,L01_072,surveyedPriceOfH05,surveyedPriceOfH05,surveyed_price_of_h05,Integer,9,0,"<Field name=""surveyed_price_of_h05"" src=""L01_072"" type=""Integer"" width=""9"" precision=""0"" comment=""平成5年公示価格"" alternativeName=""平成5年公示価格"" />"
平成6年公示価格,L01_073,surveyedPriceOfH06,surveyedPriceOfH06,surveyed_price_of_h06,Integer,9,0,"<Field name=""surveyed_price_of_h06"" src=""L01_073"" type=""Integer"" width=""9"" precision=""0"" comment=""平成6年公示価格"" alternativeName=""平成6年公示価格"" />"
平成7年公示価格,L01_074,surveyedPriceOfH07,surveyedPriceOfH07,surveyed_price_of_h07,Integer,9,0,"<Field name=""surveyed_price_of_h07"" src=""L01_074"" type=""Integer"" width=""9"" precision=""0"" comment=""平成7年公示価格"" alternativeName=""平成7年公示価格"" />"
平成8年公示価格,L01_075,surveyedPriceOfH08,surveyedPriceOfH08,surveyed_price_of_h08,Integer,9,0,"<Field name=""surveyed_price_of_h08"" src=""L01_075"" type=""Integer"" width=""9"" precision=""0"" comment=""平成8年公示価格"" alternativeName=""平成8年公示価格"" />"
平成9年公示価格,L01_076,surveyedPriceOfH09,surveyedPriceOfH09,surveyed_price_of_h09,Integer,9,0,"<Field name=""surveyed_price_of_h09"" src=""L01_076"" type=""Integer"" width=""9"" precision=""0"" comment=""平成9年公示価格"" alternativeName=""平成9年公示価格"" />"
平成10年公示価格,L01_077,surveyedPriceOfH10,surveyedPriceOfH10,surveyed_price_of_h10,Integer,9,0,"<Field name=""surveyed_price_of_h10"" src=""L01_077"" type=""Integer"" width=""9"" precision=""0"" comment=""平成10年公示価格"" alternativeName=""平成10年公示価格"" />"
平成11年公示価格,L01_078,surveyedPriceOfH11,surveyedPriceOfH11,surveyed_price_of_h11,Integer,9,0,"<Field name=""surveyed_price_of_h11"" src=""L01_078"" type=""Integer"" width=""9"" precision=""0"" comment=""平成11年公示価格"" alternativeName=""平成11年公示価格"" />"
平成12年公示価格,L01_079,surveyedPriceOfH12,surveyedPriceOfH12,surveyed_price_of_h12,Integer,9,0,"<Field name=""surveyed_price_of_h12"" src=""L01_079"" type=""Integer"" width=""9"" precision=""0"" comment=""平成12年公示価格"" alternativeName=""平成12年公示価格"" />"
平成13年公示価格,L01_080,surveyedPriceOfH13,surveyedPriceOfH13,surveyed_price_of_h13,Integer,9,0,"<Field name=""surveyed_price_of_h13"" src=""L01_080"" type=""Integer"" width=""9"" precision=""0"" comment=""平成13年公示価格"" alternativeName=""平成13年公示価格"" />"
平成14年公示価格,L01_081,surveyedPriceOfH14,surveyedPriceOfH14,surveyed_price_of_h14,Integer,9,0,"<Field name=""surveyed_price_of_h14"" src=""L01_081"" type=""Integer"" width=""9"" precision=""0"" comment=""平成14年公示価格"" alternativeName=""平成14年公示価格"" />"
平成15年公示価格,L01_082,surveyedPriceOfH15,surveyedPriceOfH15,surveyed_price_of_h15,Integer,9,0,"<Field name=""surveyed_price_of_h15"" src=""L01_082"" type=""Integer"" width=""9"" precision=""0"" comment=""平成15年公示価格"" alternativeName=""平成15年公示価格"" />"
平成16年公示価格,L01_083,surveyedPriceOfH16,surveyedPriceOfH16,surveyed_price_of_h16,Integer,9,0,"<Field name=""surveyed_price_of_h16"" src=""L01_083"" type=""Integer"" width=""9"" precision=""0"" comment=""平成16年公示価格"" alternativeName=""平成16年公示価格"" />"
平成17年公示価格,L01_084,surveyedPriceOfH17,surveyedPriceOfH17,surveyed_price_of_h17,Integer,9,0,"<Field name=""surveyed_price_of_h17"" src=""L01_084"" type=""Integer"" width=""9"" precision=""0"" comment=""平成17年公示価格"" alternativeName=""平成17年公示価格"" />"
平成18年公示価格,L01_085,surveyedPriceOfH18,surveyedPriceOfH18,surveyed_price_of_h18,Integer,9,0,"<Field name=""surveyed_price_of_h18"" src=""L01_085"" type=""Integer"" width=""9"" precision=""0"" comment=""平成18年公示価格"" alternativeName=""平成18年公示価格"" />"
平成19年公示価格,L01_086,surveyedPriceOfH19,surveyedPriceOfH19,surveyed_price_of_h19,Integer,9,0,"<Field name=""surveyed_price_of_h19"" src=""L01_086"" type=""Integer"" width=""9"" precision=""0"" comment=""平成19年公示価格"" alternativeName=""平成19年公示価格"" />"
平成20年公示価格,L01_087,surveyedPriceOfH20,surveyedPriceOfH20,surveyed_price_of_h20,Integer,9,0,"<Field name=""surveyed_price_of_h20"" src=""L01_087"" type=""Integer"" width=""9"" precision=""0"" comment=""平成20年公示価格"" alternativeName=""平成20年公示価格"" />"
平成21年公示価格,L01_088,surveyedPriceOfH21,surveyedPriceOfH21,surveyed_price_of_h21,Integer,9,0,"<Field name=""surveyed_price_of_h21"" src=""L01_088"" type=""Integer"" width=""9"" precision=""0"" comment=""平成21年公示価格"" alternativeName=""平成21年公示価格"" />"
平成22年公示価格,L01_089,surveyedPriceOfH22,surveyedPriceOfH22,surveyed_price_of_h22,Integer,9,0,"<Field name=""surveyed_price_of_h22"" src=""L01_089"" type=""Integer"" width=""9"" precision=""0"" comment=""平成22年公示価格"" alternativeName=""平成22年公示価格"" />"
平成23年公示価格,L01_090,surveyedPriceOfH23,surveyedPriceOfH23,surveyed_price_of_h23,Integer,9,0,"<Field name=""surveyed_price_of_h23"" src=""L01_090"" type=""Integer"" width=""9"" precision=""0"" comment=""平成23年公示価格"" alternativeName=""平成23年公示価格"" />"
平成24年公示価格,L01_091,surveyedPriceOfH24,surveyedPriceOfH24,surveyed_price_of_h24,Integer,9,0,"<Field name=""surveyed_price_of_h24"" src=""L01_091"" type=""Integer"" width=""9"" precision=""0"" comment=""平成24年公示価格"" alternativeName=""平成24年公示価格"" />"
平成25年公示価格,L01_092,surveyedPriceOfH25,surveyedPriceOfH25,surveyed_price_of_h25,Integer,9,0,"<Field name=""surveyed_price_of_h25"" src=""L01_092"" type=""Integer"" width=""9"" precision=""0"" comment=""平成25年公示価格"" alternativeName=""平成25年公示価格"" />"
平成26年公示価格,L01_093,surveyedPriceOfH26,surveyedPriceOfH26,surveyed_price_of_h26,Integer,9,0,"<Field name=""surveyed_price_of_h26"" src=""L01_093"" type=""Integer"" width=""9"" precision=""0"" comment=""平成26年公示価格"" alternativeName=""平成26年公示価格"" />"
平成27年公示価格,L01_094,surveyedPriceOfH27,surveyedPriceOfH27,surveyed_price_of_h27,Integer,9,0,"<Field name=""surveyed_price_of_h27"" src=""L01_094"" type=""Integer"" width=""9"" precision=""0"" comment=""平成27年公示価格"" alternativeName=""平成27年公示価格"" />"
平成28年公示価格,L01_095,surveyedPriceOfH28,surveyedPriceOfH28,surveyed_price_of_h28,Integer,9,0,"<Field name=""surveyed_price_of_h28"" src=""L01_095"" type=""Integer"" width=""9"" precision=""0"" comment=""平成28年公示価格"" alternativeName=""平成28年公示価格"" />"
平成29年公示価格,L01_096,surveyedPriceOfH29,surveyedPriceOfH29,surveyed_price_of_h29,Integer,9,0,"<Field name=""surveyed_price_of_h29"" src=""L01_096"" type=""Integer"" width=""9"" precision=""0"" comment=""平成29年公示価格"" alternativeName=""平成29年公示価格"" />"
平成30年公示価格,L01_097,surveyedPriceOfH30,surveyedPriceOfH30,surveyed_price_of_h30,Integer,9,0,"<Field name=""surveyed_price_of_h30"" src=""L01_097"" type=""Integer"" width=""9"" precision=""0"" comment=""平成30年公示価格"" alternativeName=""平成30年公示価格"" />"
平成31年公示価格,L01_098,surveyedPriceOfR01,surveyedPriceOfR01,surveyed_price_of_r01,Integer,9,0,"<Field name=""surveyed_price_of_r01"" src=""L01_098"" type=""Integer"" width=""9"" precision=""0"" comment=""平成31年公示価格"" alternativeName=""平成31年公示価格"" />"
令和2年公示価格,L01_099,surveyedPriceOfR02,surveyedPriceOfR02,surveyed_price_of_r02,Integer,9,0,"<Field name=""surveyed_price_of_r02"" src=""L01_099"" type=""Integer"" width=""9"" precision=""0"" comment=""令和2年公示価格"" alternativeName=""令和2年公示価格"" />"
令和3年公示価格,L01_100,surveyedPriceOfR03,surveyedPriceOfR03,surveyed_price_of_r03,Integer,9,0,"<Field name=""surveyed_price_of_r03"" src=""L01_100"" type=""Integer"" width=""9"" precision=""0"" comment=""令和3年公示価格"" alternativeName=""令和3年公示価格"" />"
令和4年公示価格,L01_101,surveyedPriceOfR04,surveyedPriceOfR04,surveyed_price_of_r04,Integer,9,0,"<Field name=""surveyed_price_of_r04"" src=""L01_101"" type=""Integer"" width=""9"" precision=""0"" comment=""令和4年公示価格"" alternativeName=""令和4年公示価格"" />"
令和5年公示価格,L01_102,surveyedPriceOfR05,surveyedPriceOfR05,surveyed_price_of_r05,Integer,9,0,"<Field name=""surveyed_price_of_r05"" src=""L01_102"" type=""Integer"" width=""9"" precision=""0"" comment=""令和5年公示価格"" alternativeName=""令和5年公示価格"" />"
令和6年公示価格,L01_103,surveyedPriceOfR06,surveyedPriceOfR06,surveyed_price_of_r06,Integer,9,0,"<Field name=""surveyed_price_of_r06"" src=""L01_103"" type=""Integer"" width=""9"" precision=""0"" comment=""令和6年公示価格"" alternativeName=""令和6年公示価格"" />"
昭和59年属性移動,L01_104,attributeChangeOfS59,attributeChangeOfS59,attribute_change_of_s59,String,14,0,"<Field name=""attribute_change_of_s59"" src=""L01_104"" type=""String"" width=""14"" precision=""0"" comment=""昭和59年属性移動"" alternativeName=""昭和59年属性移動"" />"
昭和60年属性移動,L01_105,attributeChangeOfS60,attributeChangeOfS60,attribute_change_of_s60,String,14,0,"<Field name=""attribute_change_of_s60"" src=""L01_105"" type=""String"" width=""14"" precision=""0"" comment=""昭和60年属性移動"" alternativeName=""昭和60年属性移動"" />"
昭和61年属性移動,L01_106,attributeChangeOfS61,attributeChangeOfS61,attribute_change_of_s61,String,14,0,"<Field name=""attribute_change_of_s61"" src=""L01_106"" type=""String"" width=""14"" precision=""0"" comment=""昭和61年属性移動"" alternativeName=""昭和61年属性移動"" />"
昭和62年属性移動,L01_107,attributeChangeOfS62,attributeChangeOfS62,attribute_change_of_s62,String,14,0,"<Field name=""attribute_change_of_s62"" src=""L01_107"" type=""String"" width=""14"" precision=""0"" comment=""昭和62年属性移動"" alternativeName=""昭和62年属性移動"" />"
昭和63年属性移動,L01_108,attributeChangeOfS63,attributeChangeOfS63,attribute_change_of_s63,String,14,0,"<Field name=""attribute_change_of_s63"" src=""L01_108"" type=""String"" width=""14"" precision=""0"" comment=""昭和63年属性移動"" alternativeName=""昭和63年属性移動"" />"
昭和64年属性移動,L01_109,attributeChangeOfH01,attributeChangeOfH01,attribute_change_of_h01,String,14,0,"<Field name=""attribute_change_of_h01"" src=""L01_109"" type=""String"" width=""14"" precision=""0"" comment=""昭和64年属性移動"" alternativeName=""昭和64年属性移動"" />"
平成2年属性移動,L01_110,attributeChangeOfH02,attributeChangeOfH02,attribute_change_of_h02,String,14,0,"<Field name=""attribute_change_of_h02"" src=""L01_110"" type=""String"" width=""14"" precision=""0"" comment=""平成2年属性移動"" alternativeName=""平成2年属性移動"" />"
平成3年属性移動,L01_111,attributeChangeOfH03,attributeChangeOfH03,attribute_change_of_h03,String,14,0,"<Field name=""attribute_change_of_h03"" src=""L01_111"" type=""String"" width=""14"" precision=""0"" comment=""平成3年属性移動"" alternativeName=""平成3年属性移動"" />"
平成4年属性移動,L01_112,attributeChangeOfH04,attributeChangeOfH04,attribute_change_of_h04,String,14,0,"<Field name=""attribute_change_of_h04"" src=""L01_112"" type=""String"" width=""14"" precision=""0"" comment=""平成4年属性移動"" alternativeName=""平成4年属性移動"" />"
平成5年属性移動,L01_113,attributeChangeOfH05,attributeChangeOfH05,attribute_change_of_h05,String,14,0,"<Field name=""attribute_change_of_h05"" src=""L01_113"" type=""String"" width=""14"" precision=""0"" comment=""平成5年属性移動"" alternativeName=""平成5年属性移動"" />"
平成6年属性移動,L01_114,attributeChangeOfH06,attributeChangeOfH06,attribute_change_of_h06,String,14,0,"<Field name=""attribute_change_of_h06"" src=""L01_114"" type=""String"" width=""14"" precision=""0"" comment=""平成6年属性移動"" alternativeName=""平成6年属性移動"" />"
平成7年属性移動,L01_115,attributeChangeOfH07,attributeChangeOfH07,attribute_change_of_h07,String,14,0,"<Field name=""attribute_change_of_h07"" src=""L01_115"" type=""String"" width=""14"" precision=""0"" comment=""平成7年属性移動"" alternativeName=""平成7年属性移動"" />"
平成8年属性移動,L01_116,attributeChangeOfH08,attributeChangeOfH08,attribute_change_of_h08,String,14,0,"<Field name=""attribute_change_of_h08"" src=""L01_116"" type=""String"" width=""14"" precision=""0"" comment=""平成8年属性移動"" alternativeName=""平成8年属性移動"" />"
平成9年属性移動,L01_117,attributeChangeOfH09,attributeChangeOfH09,attribute_change_of_h09,String,14,0,"<Field name=""attribute_change_of_h09"" src=""L01_117"" type=""String"" width=""14"" precision=""0"" comment=""平成9年属性移動"" alternativeName=""平成9年属性移動"" />"
平成10年属性移動,L01_118,attributeChangeOfH10,attributeChangeOfH10,attribute_change_of_h10,String,14,0,"<Field name=""attribute_change_of_h10"" src=""L01_118"" type=""String"" width=""14"" precision=""0"" comment=""平成10年属性移動"" alternativeName=""平成10年属性移動"" />"
平成11年属性移動,L01_119,attributeChangeOfH11,attributeChangeOfH11,attribute_change_of_h11,String,14,0,"<Field name=""attribute_change_of_h11"" src=""L01_119"" type=""String"" width=""14"" precision=""0"" comment=""平成11年属性移動"" alternativeName=""平成11年属性移動"" />"
平成12年属性移動,L01_120,attributeChangeOfH12,attributeChangeOfH12,attribute_change_of_h12,String,14,0,"<Field name=""attribute_change_of_h12"" src=""L01_120"" type=""String"" width=""14"" precision=""0"" comment=""平成12年属性移動"" alternativeName=""平成12年属性移動"" />"
平成13年属性移動,L01_121,attributeChangeOfH13,attributeChangeOfH13,attribute_change_of_h13,String,14,0,"<Field name=""attribute_change_of_h13"" src=""L01_121"" type=""String"" width=""14"" precision=""0"" comment=""平成13年属性移動"" alternativeName=""平成13年属性移動"" />"
平成14年属性移動,L01_122,attributeChangeOfH14,attributeChangeOfH14,attribute_change_of_h14,String,14,0,"<Field name=""attribute_change_of_h14"" src=""L01_122"" type=""String"" width=""14"" precision=""0"" comment=""平成14年属性移動"" alternativeName=""平成14年属性移動"" />"
平成15年属性移動,L01_123,attributeChangeOfH15,attributeChangeOfH15,attribute_change_of_h15,String,14,0,"<Field name=""attribute_change_of_h15"" src=""L01_123"" type=""String"" width=""14"" precision=""0"" comment=""平成15年属性移動"" alternativeName=""平成15年属性移動"" />"
平成16年属性移動,L01_124,attributeChangeOfH16,attributeChangeOfH16,attribute_change_of_h16,String,14,0,"<Field name=""attribute_change_of_h16"" src=""L01_124"" type=""String"" width=""14"" precision=""0"" comment=""平成16年属性移動"" alternativeName=""平成16年属性移動"" />"
平成17年属性移動,L01_125,attributeChangeOfH17,attributeChangeOfH17,attribute_change_of_h17,String,14,0,"<Field name=""attribute_change_of_h17"" src=""L01_125"" type=""String"" width=""14"" precision=""0"" comment=""平成17年属性移動"" alternativeName=""平成17年属性移動"" />"
平成18年属性移動,L01_126,attributeChangeOfH18,attributeChangeOfH18,attribute_change_of_h18,String,14,0,"<Field name=""attribute_change_of_h18"" src=""L01_126"" type=""String"" width=""14"" precision=""0"" comment=""平成18年属性移動"" alternativeName=""平成18年属性移動"" />"
平成19年属性移動,L01_127,attributeChangeOfH19,attributeChangeOfH19,attribute_change_of_h19,String,14,0,"<Field name=""attribute_change_of_h19"" src=""L01_127"" type=""String"" width=""14"" precision=""0"" comment=""平成19年属性移動"" alternativeName=""平成19年属性移動"" />"
平成20年属性移動,L01_128,attributeChangeOfH20,attributeChangeOfH20,attribute_change_of_h20,String,14,0,"<Field name=""attribute_change_of_h20"" src=""L01_128"" type=""String"" width=""14"" precision=""0"" comment=""平成20年属性移動"" alternativeName=""平成20年属性移動"" />"
平成21年属性移動,L01_129,attributeChangeOfH21,attributeChangeOfH21,attribute_change_of_h21,String,14,0,"<Field name=""attribute_change_of_h21"" src=""L01_129"" type=""String"" width=""14"" precision=""0"" comment=""平成21年属性移動"" alternativeName=""平成21年属性移動"" />"
平成22年属性移動,L01_130,attributeChangeOfH22,attributeChangeOfH22,attribute_change_of_h22,String,14,0,"<Field name=""attribute_change_of_h22"" src=""L01_130"" type=""String"" width=""14"" precision=""0"" comment=""平成22年属性移動"" alternativeName=""平成22年属性移動"" />"
平成23年属性移動,L01_131,attributeChangeOfH23,attributeChangeOfH23,attribute_change_of_h23,String,14,0,"<Field name=""attribute_change_of_h23"" src=""L01_131"" type=""String"" width=""14"" precision=""0"" comment=""平成23年属性移動"" alternativeName=""平成23年属性移動"" />"
平成24年属性移動,L01_132,attributeChangeOfH24,attributeChangeOfH24,attribute_change_of_h24,String,14,0,"<Field name=""attribute_change_of_h24"" src=""L01_132"" type=""String"" width=""14"" precision=""0"" comment=""平成24年属性移動"" alternativeName=""平成24年属性移動"" />"
平成25年属性移動,L01_133,attributeChangeOfH25,attributeChangeOfH25,attribute_change_of_h25,String,14,0,"<Field name=""attribute_change_of_h25"" src=""L01_133"" type=""String"" width=""14"" precision=""0"" comment=""平成25年属性移動"" alternativeName=""平成25年属性移動"" />"
平成26年属性移動,L01_134,attributeChangeOfH26,attributeChangeOfH26,attribute_change_of_h26,String,14,0,"<Field name=""attribute_change_of_h26"" src=""L01_134"" type=""String"" width=""14"" precision=""0"" comment=""平成26年属性移動"" alternativeName=""平成26年属性移動"" />"
平成27年属性移動,L01_135,attributeChangeOfH27,attributeChangeOfH27,attribute_change_of_h27,String,14,0,"<Field name=""attribute_change_of_h27"" src=""L01_135"" type=""String"" width=""14"" precision=""0"" comment=""平成27年属性移動"" alternativeName=""平成27年属性移動"" />"
平成28年属性移動,L01_136,attributeChangeOfH28,attributeChangeOfH28,attribute_change_of_h28,String,14,0,"<Field name=""attribute_change_of_h28"" src=""L01_136"" type=""String"" width=""14"" precision=""0"" comment=""平成28年属性移動"" alternativeName=""平成28年属性移動"" />"
平成29年属性移動,L01_137,attributeChangeOfH29,attributeChangeOfH29,attribute_change_of_h29,String,14,0,"<Field name=""attribute_change_of_h29"" src=""L01_137"" type=""String"" width=""14"" precision=""0"" comment=""平成29年属性移動"" alternativeName=""平成29年属性移動"" />"
平成30年属性移動,L01_138,attributeChangeOfH30,attributeChangeOfH30,attribute_change_of_h30,String,14,0,"<Field name=""attribute_change_of_h30"" src=""L01_138"" type=""String"" width=""14"" precision=""0"" comment=""平成30年属性移動"" alternativeName=""平成30年属性移動"" />"
平成31年属性移動,L01_139,attributeChangeOfR01,attributeChangeOfR01,attribute_change_of_r01,String,14,0,"<Field name=""attribute_change_of_r01"" src=""L01_139"" type=""String"" width=""14"" precision=""0"" comment=""平成31年属性移動"" alternativeName=""平成31年属性移動"" />"
令和2年属性移動,L01_140,attributeChangeOfR02,attributeChangeOfR02,attribute_change_of_r02,String,14,0,"<Field name=""attribute_change_of_r02"" src=""L01_140"" type=""String"" width=""14"" precision=""0"" comment=""令和2年属性移動"" alternativeName=""令和2年属性移動"" />"
令和3年属性移動,L01_141,attributeChangeOfR03,attributeChangeOfR03,attribute_change_of_r03,String,14,0,"<Field name=""attribute_change_of_r03"" src=""L01_141"" type=""String"" width=""14"" precision=""0"" comment=""令和3年属性移動"" alternativeName=""令和3年属性移動"" />"
令和4年属性移動,L01_142,attributeChangeOfR04,attributeChangeOfR04,attribute_change_of_r04,String,14,0,"<Field name=""attribute_change_of_r04"" src=""L01_142"" type=""String"" width=""14"" precision=""0"" comment=""令和4年属性移動"" alternativeName=""令和4年属性移動"" />"
令和5年属性移動,L01_143,attributeChangeOfR05,attributeChangeOfR05,attribute_change_of_r05,String,14,0,"<Field name=""attribute_change_of_r05"" src=""L01_143"" type=""String"" width=""14"" precision=""0"" comment=""令和5年属性移動"" alternativeName=""令和5年属性移動"" />"
令和6年属性移動,L01_144,attributeChangeOfR06,attributeChangeOfR06,attribute_change_of_r06,String,14,0,"<Field name=""attribute_change_of_r06"" src=""L01_144"" type=""String"" width=""14"" precision=""0"" comment=""令和6年属性移動"" alternativeName=""令和6年属性移動"" />"